# Alpha158 因子 IC 和 Rank IC 分析结果
分析时间: 2026-04-17 14:14:44.287603
时间范围: 2018-01-01 到 2018-12-31
股票池: csi300
因子数量: 158

## 每个因子的平均 IC 和 Rank IC (按平均 IC 排序)
           avg_ic  avg_rank_ic  rank_ic  rank_rank_ic
2018-03-29   -0.083359
2018-03-30    0.134710
2018-04-02   -0.205990
2018-04-03    0.064946
2018-04-04    0.223749
2018-04-09   -0.127849
2018-04-10   -0.213741
2018-04-11    0.069176
2018-04-12    0.294291
2018-04-13   -0.125602
2018-04-16    0.224156
2018-04-17    0.120550
2018-04-18    0.025427
2018-04-19    0.105961
2018-04-20   -0.173880
2018-04-23   -0.084037
2018-04-24   -0.101305
2018-04-25    0.056126
2018-04-26   -0.071079
2018-04-27    0.063411
2018-05-02    0.035042
2018-05-03    0.102520
2018-05-04    0.102631
2018-05-07    0.002081
2018-05-08   -0.154197
2018-05-09    0.094364
2018-05-10    0.077092
2018-05-11   -0.127449
2018-05-14   -0.233979
2018-05-15   -0.039697
2018-05-16   -0.041585
2018-05-17   -0.048254
2018-05-18   -0.165279
2018-05-21    0.089052
2018-05-22    0.053791
2018-05-23    0.254662
2018-05-24   -0.090050
2018-05-25    0.037296
2018-05-28    0.014283
2018-05-29   -0.164841
2018-05-30   -0.134253
2018-05-31    0.139484
2018-06-01   -0.163244
2018-06-04   -0.180651
2018-06-05   -0.144674
2018-06-06    0.118643
2018-06-07    0.156000
2018-06-08    0.116078
2018-06-11    0.193380
2018-06-12   -0.102765
2018-06-13    0.266649
2018-06-14   -0.190389
2018-06-15   -0.008640
2018-06-19    0.155520
2018-06-20    0.297087
2018-06-21    0.134803
2018-06-22    0.483120
2018-06-25    0.301412
2018-06-26    0.232590
2018-06-27   -0.390331
2018-06-28   -0.188423
2018-06-29   -0.219873
